Contract ID,Action Obligation ($),Date Signed,Contracting Agency ID,PSC,NAICS,Region,Business Entity ID
00262200302DV600C4078A,80000,2003-02-15,3600,Z149,236220,West,JBH2HD9FLWE8
00262200302DV600C409,37750,2003-02-15,3600,Z141,236220,West,JBH2HD9FLWE8
00262200302DV691C4088A,190513,2003-02-15,3600,Z141,236220,West,KVAKTYJ9MKA9
00436200302DV436C328,33000,2003-02-15,3600,Y149,236220,West,K5LCGM83FM75
00436200302DV436C329,43540,2003-02-15,3600,Y149,236220,West,K5LCGM83FM75
00564200302DV564C301,38550,2003-02-15,3600,Z141,236220,Southeast,HN2NP6EAKJG8
00564200302DV564C302,4080,2003-02-15,3600,Z141,236220,Southeast,HN2NP6EAKJG8
00564200302DV564C303,30000,2003-02-15,3600,Z141,236220,Southeast,HN2NP6EAKJG8
00626200302DV626C639,876802,2003-02-15,3600,Y224,236220,Southeast,G9AGDB26MYZ2
00659200302DV246C00018,29853,2003-02-15,3600,Z141,236220,Southeast,HQRBG4Z4MC73
0069D200302DV69DC5238A,115484,2003-02-15,3600,Z149,236220,Midwest,SG3GN6BBA5C9
0069D200302DV69DC5248A,110544,2003-02-15,3600,C114,236220,Midwest,NWVBJ1ZR5R76
0336CC10241,1201100,2003-03-01,3300,Z199,236220,Southeast,N8EHC4YGJKG5
15200200302DC1524036172,467392,2003-02-15,1443,Y199,236220,West,NWK4KHNUCQB8
4568200302D504568030001,349832,2003-02-15,12C2,Y199,236220,Southeast,X17BRZLBN766
70000200302DJX00C470,96178000,2003-02-15,1540,Y166,236220,Southeast,H1KPDZLCMNR8
9JNE200302D509SCP031F49,575629,2003-02-15,12C2,Y111,236220,West,HD25PGDMDCL5
DABM0303C4063,721079,2003-02-14,2100,C119,236220,Southeast,LN9PU5M2YZN5
DABT1002C0024,319000,2003-02-11,2100,Z119,236220,Southeast,MMJFMSLBN668
DACA2102C0059,0,2003-02-05,2100,Z119,236220,Southeast,V2UAXCUYUEH6
DACA5103C0006,3184000,2003-02-21,2100,Y211,236220,Northeast,KJE1MNJ9LZ85
DACA6503C0025,172042,2003-02-13,2100,Z119,236220,Southeast,RBNPWMNC65J7
DACW2703C0007,4500,2003-02-07,2100,Y299,236220,Southeast,XZKNPTYYGGL3
DACW4503C0006,439942,2003-02-27,2100,Y159,236220,Midwest,FDZLHYBSK185
DAHA2203C0001,2765750,2003-02-04,2100,Y139,236220,Southeast,GYCTU7ALKXV4
DAHA3003C0001,1887000,2003-02-27,2100,Y119,236220,Northeast,QLJHSQELG6J1
F0260403C0012,108000,2003-02-27,5700,Z299,236220,Southwest,R8LLMMZN5511
F0466603C0004,324530,2003-02-27,5700,Y199,236220,West,N7PZBK31EKL1
F2965003C0003,157353,2003-02-12,5700,Z199,236220,Southwest,Y1FQJ2GMX6K6
F6413303C0006,220000,2003-02-14,5700,Z159,236220,Southeast,CC6NSGL8M9J1
F6413303C0007,15000,2003-02-14,5700,Z159,236220,Southeast,CC6NSGL8M9J1
F6550103C0009,9498,2003-02-27,5700,Z162,236220,West,ZHEGXL9HYV43
GY000200302DGS06P03GYC0001,265925,2003-02-15,4740,Z111,236220,Midwest,WQNLHU9R6HU1
N4425503C6035,196020,2003-02-18,1700,Z159,236220,West,S6VHK7LBNT13
N6246702C0506,2311300,2003-02-27,1700,Y152,236220,Southeast,SZKNP57U5UK3
N6246703C0268,10776008,2003-02-12,1700,Y163,236220,Southeast,NVHLQUQEZ345
N6247003C4318,57762,2003-02-07,1700,Z199,236220,Southeast,CNKPKNSMVWF8
N6247099C9123,3303342,2003-02-06,1700,Y119,236220,Southeast,RJACTB837YT1
N6247203C3903,26662,2003-02-06,1700,Y163,236220,Northeast,K6DZEDKN7NW7
N6247700C0007,0,2003-02-12,1700,Y119,236220,Southeast,C5ZSQJGMJ6M5
N6274201C1306,34714021,2003-02-06,1700,Y124,236220,West,UKUQF5779M47
N6871102C3147,2303992,2003-02-25,1700,Y139,236220,Southwest,D8D7RCDVLW45
RE000200302DGS04P03REC0036,141395,2003-02-15,4740,Z111,236220,Southeast,LVWPXDUBLK96
SP071002C0026,26807,2003-02-28,97AS,Z299,236220,Midwest,J5MRAP9SZ4K8
00009200303DCMN00030023,911850,2003-03-15,1450,Y199,236220,Southwest,KMJ3NZCFC989
00246200303DV246C00019A,427631,2003-03-15,3600,Y149,236220,Southeast,WR7TLF7SUVH9
00262200303DV600C4138A,58000,2003-03-15,3600,Z141,236220,West,JBH2HD9FLWE8
00262200303DV600C4158A,196650,2003-03-15,3600,Z141,236220,West,JBH2HD9FLWE8
00262200303DV600C4278A,1700000,2003-03-15,3600,Z149,236220,West,JBH2HD9FLWE8
00262200303DV691C4128A,135947,2003-03-15,3600,Z141,236220,West,JBH2HD9FLWE8
00552200303DV552R0004,141000,2003-03-15,3600,Z111,236220,Midwest,M24RZR4BV4K5
00614200303DV614C517,305919,2003-03-15,3600,C114,236220,Southeast,JZ64KY7WNYJ4
00671200303DV671C599A,270000,2003-03-15,3600,Z149,236220,Southwest,M9MDLP45LWJ3
00673200303DV673C514,923282,2003-03-15,3600,Z141,236220,Southeast,TGAKJLFL9Z28
0069D200303DV69DC5278A,127907,2003-03-15,3600,Z149,236220,Midwest,SG3GN6BBA5C9
0069D200303DV69DC5288A,226810,2003-03-15,3600,Z149,236220,Midwest,SG3GN6BBA5C9
0069D200303DV69DC5358A,369663,2003-03-15,3600,Z141,236220,Midwest,NWVBJ1ZR5R76
0069D200303DV69DC5398A,12253,2003-03-15,3600,Z149,236220,Midwest,SG3GN6BBA5C9
0336CC10124,1004330,2003-03-14,3300,Z199,236220,Southwest,TGG8QGDS9D27
0336CC10205,2599000,2003-03-12,3300,Z191,236220,Southeast,N8EHC4YGJKG5
20507200303DJ20507C027,28547,2003-03-15,1540,5660,236220,Northeast,EATDZJL6JFJ5
30000200303DC3000030019,287000,2003-03-15,1443,Z191,236220,Southeast,CX94XWQUWHJ9
3K15200303D503K1531800,3288000,2003-03-15,12H2,Z159,236220,Southeast,RKE9KA6YLK88
531A200303D5052B133026,114900,2003-03-15,12C2,Z199,236220,Midwest,GEZKTNN91KN9
61702200303DJ61702C0034,71228,2003-03-15,1540,Y166,236220,West,FNGXJVEJ2BB8
82HW200303D5082HW30500,423475,2003-03-15,12H2,Z182,236220,Midwest,HSEAK3YNT7H6
AE121710000220,0,2003-03-12,1630,Y199,236220,Southeast,LTMLMMKMHX24
AZ000200303DGS03P03AZD0043,1,2003-03-15,4740,Z111,236220,Southeast,MP2LMACEU343
AZ000200303DGS03P03AZD0044,1,2003-03-15,4740,Z111,236220,Northeast,NALLBVL1HRM4
AZ000200303DGS03P03AZD0045,1,2003-03-15,4740,Z111,236220,West,SYGQNX6Q1NM5
AZ000200303DGS03P03AZD0046,1,2003-03-15,4740,Z111,236220,Northeast,ETGYGW1EBBV1
AZ000200303DGS03P03AZD0047,1,2003-03-15,4740,Z111,236220,Northeast,FY6CRG9ZJYD8
BC664200303DNDC030049,241859,2003-03-15,1422,Y199,236220,West,SJM2QV34VBK4
DABK3703C0020,54944,2003-03-25,2100,Z111,236220,Southeast,NWNMBPLWJ9V5
DABM0303C4042,279388,2003-03-08,2100,C113,236220,Southeast,LN9PU5M2YZN5
DACA0103C0005,1167000,2003-03-17,2100,Y129,236220,Southeast,C63BW3GK71H8
