Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($)
FA461017C0006,236220,2017-05-22,5700,Z2JZ,West,PGKHVAQQGFF3,228787,6,138339
47PF0019C0055,236220,2019-06-12,4740,Z2AA,Southeast,P1JLNNA46KP3,46836,1,0
VA25616C0211,236220,2016-09-23,3600,Y1DA,Southeast,LHQGYCQEGCV1,208602,1,0
INP16PC00579,236220,2016-09-20,1443,Y1JZ,Southeast,M56LN125BLH9,2250219,4,1036709
VA25610C1016,236220,2010-09-21,3600,Y141,Southeast,QZGMDLEMKB43,1165000,3,7502
N3319112C2019,236220,2012-09-30,1700,Y1NZ,Southeast,LN9PU5M2YZN5,503945,2,62057
GS11P13MAP0129,236220,2013-04-04,4740,Z2AA,Southeast,N5S2UQEWU8J9,98730,1,1120
VA256C1449,236220,2011-09-20,3600,Y111,Southeast,CA2HB7LUJPM3,149377,0,0
SP470316C0014,236220,2016-05-04,97AS,Y1JZ,Southeast,M14ZDZ8WJZU4,190699,0,0
47PD0518C0003,236220,2018-03-08,4740,Z2AA,Northeast,PCTNSGRN46C8,137500,3,74800
00581200309DV581C544,236220,2003-09-15,3600,C114,Southeast,JXEPCQWMZ621,876864,0,0
47PM0518C0028,236220,2018-08-01,4740,Z2AA,Southeast,X4SCB268T3M3,168740,2,0
FA486108CA008,236220,2008-09-30,5700,Y174,West,H2ZUJJNLGNJ9,740629,0,0
INPC8000080919,236220,2008-08-08,1443,Y300,West,X3JJJM3JD2V7,2189732,4,425408
GS09P13WKC0026,236220,2013-04-03,4740,Z2AA,West,FGTMAYVAHLT3,7500,3,0
INP15PC00442,236220,2015-08-14,1443,Z2AA,Northeast,WJCWVFCF4JK6,65000,1,7000
47PM1018C0060,236220,2018-08-31,4740,Z1AA,Southeast,SAP4R6DVL5B3,3125,1,3125
FA890323C0003,236220,2022-12-02,5700,C1AZ,West,ZHEGXL9HYV43,4175063,2,38253
SAQMMA16C0155,236220,2016-06-15,1900,C1AA,Northeast,R6EMCVYM26D3,14714824,23,15923249
VA241C0769,236220,2008-09-25,3600,Z149,Northeast,SMEZB6E2KCM9,6270000,4,39134
HHSD200201357108C,236220,2013-08-29,7523,Y1AA,Southeast,NH15RBYFZGM7,31174,2,152694
75N99022C00045,236220,2022-09-20,7529,Y1JZ,Southwest,CLU9WNM6QAT7,1324254,9,157130
VA262C0173,236220,2007-09-27,3600,Z141,West,DVQLEKBSV2P7,436936,0,0
FA468608C0020,236220,2008-09-24,5700,Z139,West,KRDNQ183PMS7,97922,2,0
36E77619C0091,236220,2019-09-30,3600,Z2DA,Southeast,UJMKBK5AMBS4,4940385,4,257723
N6246703C8837,236220,2003-09-23,1700,Z199,Southwest,YY28V8GG5J25,529926,1,136220
VA258C0179,236220,2008-10-15,3600,Z141,Southwest,KJLTLNEV5E11,138439,1,4136
FA330009C0030,236220,2009-09-30,5700,Z111,Southeast,ZN18CLHUHKK4,2550000,3,45227
V255C657A50344,236220,2005-10-20,3600,Z141,Midwest,E2LNTGNM1968,95204,1,6741
VA246C0614,236220,2011-06-17,3600,Y149,Northeast,VZCKAB8RKGQ7,763000,6,112840
VA25112C0135,236220,2012-09-22,3600,Z1DA,Southeast,UJMKBK5AMBS4,3663287,6,132995
W91B4M09C4104,236220,2009-06-09,2100,Z199,Southeast,LN9PU5M2YZN5,21750,1,0
47PJ0018C0056,236220,2018-08-13,4740,Z2AA,West,R9JCCCG5ETB6,301365,5,64857
47PD1218C0013,236220,2018-05-01,4740,Z2AA,Southeast,TXM3NNN51S57,33777,2,0
V636C1044,236220,2004-07-02,3600,Z141,Midwest,GJWDPQ2EB6X7,275960,5,12134
