,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
2717,GS09P16WNC7023,4740,0,$0,0%
2718,VA25615C0078,3600,0,$0,0%
2719,F3061703C0010,5700,Empty,Empty,Empty
2720,SP470210C0025,97AS,Empty,Empty,Empty
2721,FA460010C0050,5700,Empty,Empty,Empty
2722,GS11P15ZGP0260,4740,,,
2723,FA449721C0003,5700,Empty,Empty,Empty
2724,V691C0532,3600,0,$0,0%
2725,FA466406C0004,5700,Empty,Empty,Empty
2726,W912L111C0015,2100,0,$0,0%
2727,W912CN20C0021,2100,0,$0,0%
2728,HSCG3310NPQQ151,7008,0,$0,0%
2729,GS04P10EWC0045,4740,0,$0,0%
2730,VA250C0709,3600,78,$19.32 Million,205.5%
2731,GS07P09UAC0040,4740,Empty,Empty,Empty
2732,697DCK18C00415,6920,,,
2733,47PK1721C0013,4740,,,
2734,47PD0223C0008,4740,,,
2735,VA24412C0219,3600,0,$0,0%
2736,W912BV12C0007,2100,,,
2737,W9126G14C0126,2100,0,$0,0%
2738,FA703707C8011,5700,Empty,Empty,Empty
2739,GS05P05STM0030,4740,,,
2740,FA500008C0016,5700,Empty,Empty,Empty
2741,W9124A19C0006,2100,,,
2742,GS09P12WLC0025,4740,,,
2743,W912QR17C0026,2100,,,
2744,AG32SCC150079,12H2,,,
2745,W25G1V19C0019,2100,0,$0,0%
2746,GS01P17NGC0001,4740,,,
2747,GS08P06JBP3163,4740,,,
2748,W912QR10C0017,2100,0,$0,0%
2749,W9124Q08C0713,2100,,,
2750,GS09P13KZC0019,4740,,,
2751,W9127821C0004,2100,Empty,Empty,Empty
2752,W9124719C0102,2100,Empty,Empty,Empty
2753,W912LA12C0008,2100,Empty,Empty,Empty
2754,N4425515C6001,1700,Empty,Empty,Empty
2755,N4008518C8707,1700,Empty,Empty,Empty
2756,FA667021C0004,5700,Empty,Empty,Empty
2757,N3319110C1401,1700,Empty,Empty,Empty
2758,FA485522C0013,5700,Empty,Empty,Empty
2759,N4008017C3518,1700,Empty,Empty,Empty
2760,N4008012C2028,1700,Empty,Empty,Empty
2761,FA910110C0030,5700,Empty,Empty,Empty
2762,FA301018C0027,5700,Empty,Empty,Empty
2763,GS07P12UFC0013,4740,Empty,Empty,Empty
2764,N6945019C2509,1700,Empty,Empty,Empty
2765,AG5114C070026,12H2,Empty,Empty,Empty
2766,HSCG8206C3WCA55,7008,Empty,Empty,Empty
