Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
DTFAAC11C00034,6920,0,$0,0%
140P4322C0016,1443,,,
W50S8R22C0004,2100,,,
VA262C0152,3600,0,$0,0%
AG645SC080002,12D2,0,$0,0%
INP17PC00735,1443,,,
47PE0319C0001,4740,,,
GS08P15JBC7000,4740,,,
GS09P10WFC0016,4740,0,$0,0%
VA250C0459,3600,0,$0,0%
SALMEC07C0006,1900,,,
00262200309DV691C0474,3600,0,$0,0%
36C25921C0106,3600,0,$0,0%
W911SA18C2026,2100,,,
GS09P16WKC7017,4740,,,
DTFASW05C00002,6920,0,$0,0%
36C25818C0087,3600,0,$0,0%
47PF0018C0076,4740,,,
GS10P13XJC0017,4740,0,$0,0%
W9127810C0070,2100,0,$0,0%
W912JM15C0015,2100,0,$0,0%
W912TF13C0506,2100,0,$0,0%
19PE5020C0003,1900,,,
VA24417C0328,3600,,,
GS08P17JBC0020,4740,,,
GS11P09YEC0251,4740,0,$0,0%
W5K9FH11C0179,2100,0,$0,0%
VA25917C0241,3600,0,$0,0%
W9126G17C0138,2100,0,$0,0%
VA257C00938A,3600,0,$0,0%
VE000200305DGS08P03VPC7012,4740,0,$0,0%
