,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
6226,N4008012C1005,1700,Empty,Empty,Empty
6227,W5K9FH13C0028,2100,0,$0,0%
6228,VA24413P3417,3600,0,$0,0%
6229,VA257C01968A,3600,,,
6230,GS03P16QMC7032,4740,Empty,Empty,Empty
6231,36C25719C0092,3600,Empty,Empty,Empty
6232,36C24418C0218,3600,Empty,Empty,Empty
6233,VA261C0432,3600,Empty,Empty,Empty
6234,N6247308C3543,1700,Empty,Empty,Empty
6235,N4008020C0022,1700,Empty,Empty,Empty
6236,GS04P07EXC0091,4740,,,
6237,AG6395C160043,12K3,,,
6238,W50S8T20C0005,2100,,,
6239,VA69DC0503,3600,,,
6240,FA667515C0010,5700,Empty,Empty,Empty
6241,GS02P05DTC0016,4740,Empty,Empty,Empty
6242,N6945008C2319,1700,Empty,Empty,Empty
6243,INP11PC40767,1443,0,$0,0%
6244,140FC124C0013,1448,Empty,Empty,Empty
6245,47PM0224C0004,4740,Empty,Empty,Empty
6246,F0862003C0011,5700,Empty,Empty,Empty
6247,GS11P04YEC0156,4740,Empty,Empty,Empty
6248,GS09P08KLC0022,4740,,,
6249,47PL0118C0024,4740,Empty,Empty,Empty
6250,W912DY20C0056,2100,Empty,Empty,Empty
6251,W912JV16C7002,2100,Empty,Empty,Empty
6252,GS07P13UTC0020,4740,0,$0,0%
6253,GS07P06URC0008,4740,Empty,Empty,Empty
6254,W91QV117C0268,2100,,,
6255,GS04P12EXC0044,4740,Empty,Empty,Empty
6256,FA570012C0023,5700,Empty,Empty,Empty
6257,1232SC18C0005,12H2,Empty,Empty,Empty
6258,INA12PC00596,1450,Empty,Empty,Empty
6259,140F0219C0030,1448,Empty,Empty,Empty
6260,W9126G10C0002,2100,Empty,Empty,Empty
6261,N6247005C2040,1700,Empty,Empty,Empty
6262,N4008009C2031,1700,Empty,Empty,Empty
6263,W91B4L11C0246,2100,0,$0,0%
6264,VA24616C0003,3600,,,
6265,F0536CW10160,3300,0,$0,0%
6266,W917PM09C0072,2100,0,$0,0%
6267,W911S609C0012,2100,0,$0,0%
6268,SALMEC05C0041,1900,,,
