Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
00262200304DV600C418,3600,Empty,Empty,Empty
GS08P13VPC0002,4740,Empty,Empty,Empty
W911XK15C0015,2100,Empty,Empty,Empty
VA250C0698,3600,Empty,Empty,Empty
47PA0322C0013,4740,Empty,Empty,Empty
VA261C0284,3600,Empty,Empty,Empty
VA263C0583,3600,Empty,Empty,Empty
W9126G09C0079,2100,Empty,Empty,Empty
GS11P13NWC0004,4740,Empty,Empty,Empty
FA281607C0020,5700,Empty,Empty,Empty
DJBX00057,1540,Empty,Empty,Empty
W15QKN22C5018,2100,Empty,Empty,Empty
36C24923C0099,3600,Empty,Empty,Empty
FA813719CA001,5700,Empty,Empty,Empty
FA521516C0015,5700,Empty,Empty,Empty
FA465905CC005,5700,Empty,Empty,Empty
N6927203C0037,1700,Empty,Empty,Empty
SP470216C0005,97AS,Empty,Empty,Empty
GSP1109ZG0022,4740,Empty,Empty,Empty
N4008514C5212,1700,Empty,Empty,Empty
W9126G17C0017,2100,Empty,Empty,Empty
GS04P17EXC0039,4740,Empty,Empty,Empty
VA247C0943,3600,Empty,Empty,Empty
36C24818C0184,3600,Empty,Empty,Empty
36C25223C0053,3600,Empty,Empty,Empty
N6247310C2020,1700,Empty,Empty,Empty
GS06P05THC0032,4740,Empty,Empty,Empty
GS09P15KZC7005,4740,Empty,Empty,Empty
N3654A08C9004,1700,Empty,Empty,Empty
VA26312C0200,3600,Empty,Empty,Empty
N6247314C0425,1700,Empty,Empty,Empty
SP470317C0002,97AS,Empty,Empty,Empty
AE136230000420,1630,Empty,Empty,Empty
N6871103C1061,1700,Empty,Empty,Empty
FA252112C0056,5700,Empty,Empty,Empty
FA671216C0001,5700,Empty,Empty,Empty
W90U4210C4078,2100,Empty,Empty,Empty
VA247C1156,3600,Empty,Empty,Empty
VA24412C0331,3600,Empty,Empty,Empty
VA259C0353,3600,Empty,Empty,Empty
VA244C1128,3600,Empty,Empty,Empty
W91B4M11C6635,2100,Empty,Empty,Empty
GS09P15WQC7008,4740,Empty,Empty,Empty
W56HZV13CL539,2100,Empty,Empty,Empty
W912DR16C0035,2100,Empty,Empty,Empty
00200200307D200200301287,7523,Empty,Empty,Empty
W9124J09C0038,2100,Empty,Empty,Empty
VA248C1518,3600,Empty,Empty,Empty
W91B4L10C0139,2100,Empty,Empty,Empty
FA449711C0002,5700,Empty,Empty,Empty
N6247311C2849,1700,Empty,Empty,Empty
FA460812C0002,5700,Empty,Empty,Empty
36C25920C0142,3600,Empty,Empty,Empty
